Backbone,Config,Attack class,Asset,Impact used,Windows,Detected,Delay (windows)
TiDE,B+K,DDoS_HTTP,N1_gateway,1.000000,9934,True,3.000000
TiDE,B+K,DDoS_TCP,N1_gateway,1.000000,9964,True,3.000000
TiDE,B+K,Password,N3_hmi,1.000000,9982,True,3.000000
TiDE,B+K,Port_Scanning,N1_gateway,1.000000,4464,True,3.000000
TiDE,B+K,Vulnerability_scanner,N1_gateway,1.000000,9973,True,3.000000
TiDE,B+K,Backdoor,N2_scada,1.000000,4924,True,3.000000
TiDE,B+K,XSS,N1_gateway,1.000000,3134,True,3.000000
TiDE,B+K,Fingerprinting,N4_sensor,1.000000,152,True,3.000000
TiDE,B+K,DDoS_UDP,N1_gateway,1.000000,24265,True,3.000000
TiDE,B+K,DDoS_ICMP,N1_gateway,1.000000,23239,True,3.000000
TiDE,B+A,MITM,N4_sensor,0.210000,194,False,
TiDE,B+A,Uploading,N3_hmi,0.580000,7478,True,3.000000
TiDE,B+A,Ransomware,N5_plc,0.810000,2136,True,1.000000
TiDE,B+A,SQL_injection,N2_scada,0.900000,10192,True,1.000000
TiDE,B+A,DDoS_HTTP,N1_gateway,0.810000,9934,True,1.000000
TiDE,B+A,DDoS_TCP,N1_gateway,0.810000,9964,True,1.000000
TiDE,B+A,Password,N3_hmi,0.580000,9982,True,1.000000
TiDE,B+A,Port_Scanning,N1_gateway,0.810000,4464,True,1.000000
TiDE,B+A,Vulnerability_scanner,N1_gateway,0.810000,9973,True,1.000000
TiDE,B+A,Backdoor,N2_scada,0.900000,4924,True,1.000000
TiDE,B+A,XSS,N1_gateway,0.810000,3134,True,1.000000
TiDE,B+A,Fingerprinting,N4_sensor,0.210000,152,False,
TiDE,B+A,DDoS_UDP,N1_gateway,0.810000,24265,True,1.000000
TiDE,B+A,DDoS_ICMP,N1_gateway,0.810000,23239,True,1.000000
TiDE,B+G,MITM,N4_sensor,1.000000,194,True,1.000000
TiDE,B+G,Uploading,N3_hmi,1.000000,7478,True,1.000000
TiDE,B+G,Ransomware,N5_plc,1.000000,2136,True,1.000000
TiDE,B+G,SQL_injection,N2_scada,1.000000,10192,True,1.000000
